rank,player_id,player_name,country,highest_paying_game,total_overall_usd,total_game_usd,pct_of_total_num,source_url
537,Summer,"Yu, Chuan",China,PLAYERUNKNOWNâS BATTLEGROUNDS,527411.9,527411.9,100,https://www.esportsearnings.com/players/highest-earnings-top-600
538,FelipoX,Felipe De Lucia,Brazil,Rainbow Six Siege,527264.04,527264.04,100,https://www.esportsearnings.com/players/highest-earnings-top-600
539,Zeus,"Choi, Woo Je","Korea, Republic of",League of Legends,527261.89,527261.89,100,https://www.esportsearnings.com/players/highest-earnings-top-600
540,JiuCheng,"Cao, Zhishun",China,Arena of Valor,524628.69,524628.69,100,https://www.esportsearnings.com/players/highest-earnings-top-600
541,Canadian,Troy Jaroslawski,Canada,Rainbow Six Siege,523861.9,523861.9,100,https://www.esportsearnings.com/players/highest-earnings-top-600
542,Enable,Ian Wyatt,United States,Call of Duty: Black Ops 4,522597.12,141875,27.150000000000002,https://www.esportsearnings.com/players/highest-earnings-top-600
543,jstn.,Justin Morales,United States,Rocket League,522461.97000000003,522321.97000000003,99.97,https://www.esportsearnings.com/players/highest-earnings-top-600
544,YEKINDAR,Mareks GaÄ¼inskis,Latvia,Counter-Strike: Global Offensive,521639.57,427489.57,81.95,https://www.esportsearnings.com/players/highest-earnings-top-600
545,Elemzje,Bryan Tebessi,France,Rainbow Six Siege,519392.44,519392.44,100,https://www.esportsearnings.com/players/highest-earnings-top-600
546,Jankos,Marcin Jankowski,Poland,League of Legends,519257.63,519257.63,100,https://www.esportsearnings.com/players/highest-earnings-top-600
547,Scout,"Lee, Ye Chan","Korea, Republic of",League of Legends,517926.83,517926.83,100,https://www.esportsearnings.com/players/highest-earnings-top-600
548,Falconer,Brendan Falconer,United States,Fortnite,516750,516750,100,https://www.esportsearnings.com/players/highest-earnings-top-600
549,ClearLove,"Ming, Kai",China,League of Legends,516407.61,516407.61,100,https://www.esportsearnings.com/players/highest-earnings-top-600
550,ZexRow,Anthony Colandro,United States,Fortnite,516084.73000000004,514009.73000000004,99.6,https://www.esportsearnings.com/players/highest-earnings-top-600
551,ShiJiu,"Chen, Runzhi",China,Arena of Valor,515841.57,515841.57,100,https://www.esportsearnings.com/players/highest-earnings-top-600
552,18,"Dai, Yueqiang",China,CrossFire,515649.74,515649.74,100,https://www.esportsearnings.com/players/highest-earnings-top-600
553,33Svan,"Zhong, Hongsen",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,514638.51,514638.51,100,https://www.esportsearnings.com/players/highest-earnings-top-600
554,coolboy,"Zeng, Ronghua",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,513159.42000000004,513159.42000000004,100,https://www.esportsearnings.com/players/highest-earnings-top-600
555,DBQ,"Zhou, Xingwei",China,CrossFire,513015.12,513015.12,100,https://www.esportsearnings.com/players/highest-earnings-top-600
556,REZ,Fredrik Sterner,Sweden,Counter-Strike: Global Offensive,511003.69,452511.64999999997,88.55,https://www.esportsearnings.com/players/highest-earnings-top-600
557,Renshiro,Olivier Vandroux,France,Rainbow Six Siege,510989.39,510989.39,100,https://www.esportsearnings.com/players/highest-earnings-top-600
558,Commandment,Josh Roach,United States,Fortnite,510923.99000000005,510923.99000000005,100,https://www.esportsearnings.com/players/highest-earnings-top-600
559,Soulkey,"Kim, Min Chul","Korea, Republic of",StarCraft: Remastered,510558.67,343793.55,67.34,https://www.esportsearnings.com/players/highest-earnings-top-600
560,BunnyHoppor,Raphael Peltzer,Germany,Hearthstone,508531.23000000004,508531.23000000004,100,https://www.esportsearnings.com/players/highest-earnings-top-600
561,Perfect1ks,Dmytrii Dubenyuk,Ukraine,PLAYERUNKNOWNâS BATTLEGROUNDS,507794.18,507794.18,100,https://www.esportsearnings.com/players/highest-earnings-top-600
562,é¢å,"Liu, Jinshan",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,506991.4,506991.4,100,https://www.esportsearnings.com/players/highest-earnings-top-600
563,Ritual,Joseph Mauro,United States,Fortnite,506970.83,498512.5,98.33,https://www.esportsearnings.com/players/highest-earnings-top-600
564,BingC,"Li, Xiaolong",China,Arena of Valor,506185.83,506185.83,100,https://www.esportsearnings.com/players/highest-earnings-top-600
565,Buster,Timur Tulepov,Kazakhstan,Counter-Strike: Global Offensive,504561.82,498067.47000000003,98.71000000000001,https://www.esportsearnings.com/players/highest-earnings-top-600
566,Crisp,"Liu, Qingsong",China,League of Legends,504245.66,504245.66,100,https://www.esportsearnings.com/players/highest-earnings-top-600
567,ExoTiiK,Brice Bigeard,France,Rocket League,503406.49000000005,503406.49000000005,100,https://www.esportsearnings.com/players/highest-earnings-top-600
568,Infi,"Wang, Xu Wen",China,WarCraft III,503347,362803.44,72.08,https://www.esportsearnings.com/players/highest-earnings-top-600
569,Lekr0,Jonas Olofsson,Sweden,Counter-Strike: Global Offensive,503203.29000000004,491430.3,97.66,https://www.esportsearnings.com/players/highest-earnings-top-600
